user_id,age,gender,destination,country,start_date,end_date,min_temp_celsius,max_temp_celsius,avg_temp_celsius,luggage_type,trip_purpose,packed_items
U0011,70,f,Moscow,Russia,2025-11-08,2025-11-11,-2,2,0.0,carry_on,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 sweater, 1 thermal underwear, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie, 1 wool socks"
U0012,73,nb,Delhi,India,2025-03-02,2025-03-09,15,30,22.5,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0013,39,nb,Dublin,Ireland,2025-12-23,2026-01-03,3,8,5.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 sweater, 2 thermal underwear, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie, 4 wool socks"
U0014,66,m,New York,USA,2025-09-07,2025-09-13,16,25,20.5,carry_on,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 6 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0015,45,nb,Cancun,Mexico,2025-09-18,2025-09-22,25,33,29.0,carry_on,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 1 swimming suit, 3 shorts, 4 tank top, 1 sunscreen, 1 insect repellent"
U0016,65,nb,Bucharest,Romania,2025-06-06,2025-06-13,16,27,21.5,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0017,42,nb,Barcelona,Spain,2025-04-14,2025-04-19,10,18,14.0,carry_on,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 5 t-shirt, 3 jeans, 1 light jacket, 1 sneakers"
U0018,42,nb,Mexico City,Mexico,2025-06-24,2025-06-30,13,25,19.0,checked,business,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 3 t-shirt, 4 jeans, 1 light jacket, 1 sneakers, 5 dress shirt, 3 dress pants, 2 blazer, 2 dress shoes, 1 belt"
U0019,19,f,São Paulo,Brazil,2025-07-19,2025-07-25,11,22,16.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 6 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0020,44,m,Montreal,Canada,2025-04-14,2025-04-24,2,12,7.0,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 2 thermal underwear, 4 wool socks, 1 toothbrush, 1 deodorant, 1 wallet, 1 power adapter, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 sweater, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie"
U0021,48,f,Vancouver,Canada,2025-08-05,2025-08-16,14,22,18.0,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 6 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0022,46,f,Brussels,Belgium,2025-08-31,2025-09-12,13,23,18.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0023,69,f,Moscow,Russia,2025-05-16,2025-05-22,10,19,14.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 6 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0024,25,nb,Bangkok,Thailand,2025-04-13,2025-04-25,26,35,30.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 2 swimming suit, 4 shorts, 7 tank top, 2 sunscreen, 2 insect repellent"
U0025,51,f,Copenhagen,Denmark,2025-08-17,2025-08-31,14,22,18.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0026,74,m,Dublin,Ireland,2025-03-15,2025-03-26,3,10,6.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 sweater, 2 thermal underwear, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie, 4 wool socks"
U0027,57,m,Moscow,Russia,2025-06-13,2025-06-23,14,22,18.0,checked,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 4 t-shirt, 4 jeans, 1 light jacket, 1 sneakers, 6 dress shirt, 2 dress pants, 2 blazer, 5 tie, 2 dress shoes, 1 belt"
U0028,45,m,Johannesburg,South Africa,2025-11-18,2025-12-01,13,24,18.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0029,26,f,Miami,USA,2025-09-27,2025-10-03,24,31,27.5,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 shampoo, 1 conditioner, 1 face wash, 1 brush/comb, 1 bikini, 2 summer dress, 4 shorts, 6 tank top, 1 insect repellent"
U0030,46,m,Cape Town,South Africa,2025-07-19,2025-07-28,7,17,12.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0031,49,f,Tokyo,Japan,2025-10-30,2025-11-04,15,21,18.0,checked,business,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 2 t-shirt, 3 jeans, 1 light jacket, 1 sneakers, 4 dress shirt, 2 dress pants, 2 blazer, 2 dress shoes, 1 belt, 2 dress"
U0032,69,nb,Amsterdam,Netherlands,2025-08-10,2025-08-17,14,22,18.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0033,35,nb,Stockholm,Sweden,2025-04-08,2025-04-19,2,10,6.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 sweater, 2 thermal underwear, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie, 4 wool socks"
U0034,69,m,Moscow,Russia,2025-05-20,2025-05-30,10,19,14.5,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0035,23,nb,Vancouver,Canada,2025-07-21,2025-07-29,14,22,18.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0036,51,nb,Bangalore,India,2025-12-17,2025-12-30,15,26,20.5,checked,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 t-shirt, 4 jeans, 1 light jacket, 1 sneakers, 1 sunscreen, 2 insect repellent, 6 dress shirt, 3 dress pants, 2 blazer, 2 dress shoes, 1 belt"
U0037,53,nb,Mumbai,India,2025-06-12,2025-06-15,26,32,29.0,carry_on,business,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 swimming suit, 2 shorts, 1 tank top, 1 sunscreen, 1 insect repellent, 2 dress shirt, 1 dress pants, 1 blazer, 1 dress shoes, 1 belt"
U0038,63,nb,Istanbul,Turkey,2026-02-09,2026-02-14,3,9,6.0,carry_on,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 2 sweater, 2 thermal underwear, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie, 2 wool socks"
U0039,65,f,Lagos,Nigeria,2025-05-17,2025-05-23,23,31,27.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 1 bikini, 3 summer dress, 4 shorts, 6 tank top, 1 sunscreen, 1 insect repellent"
U0040,69,nb,Santiago,Chile,2025-03-21,2025-04-02,13,26,19.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0041,57,nb,Stockholm,Sweden,2025-06-07,2025-06-19,11,20,15.5,checked,business,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 t-shirt, 4 jeans, 1 light jacket, 1 sneakers, 6 dress shirt, 3 dress pants, 2 blazer, 2 dress shoes, 1 belt"
U0042,75,m,Lima,Peru,2025-12-10,2025-12-19,18,24,21.0,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothpaste, 1 deodorant, 1 wallet, 1 shampoo, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 3 sunscreen"
U0043,67,nb,Beijing,China,2025-11-17,2025-11-24,0,10,5.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 3 sweater, 2 thermal underwear, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie, 3 wool socks"
U0044,38,nb,Bogota,Colombia,2025-07-22,2025-08-04,9,18,13.5,checked,business,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 t-shirt, 4 jeans, 1 light jacket, 1 sneakers, 6 dress shirt, 3 dress pants, 2 blazer, 2 dress shoes, 1 belt"
U0045,37,nb,Athens,Greece,2025-10-28,2025-11-08,15,24,19.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0046,32,nb,Bucharest,Romania,2025-03-04,2025-03-14,2,12,7.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 sweater, 2 thermal underwear, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie, 4 wool socks"
U0047,72,f,Manila,Philippines,2026-02-08,2026-02-19,23,31,27.0,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 wallet, 1 conditioner, 1 face wash, 1 face moisturizer, 4 summer dress, 4 shorts, 6 tank top, 2 insect repellent"
U0048,44,nb,Stockholm,Sweden,2025-04-09,2025-04-20,2,10,6.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 sweater, 2 thermal underwear, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie, 4 wool socks"
U0049,42,nb,Miami,USA,2025-10-03,2025-10-15,22,29,25.5,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 shampoo, 1 conditioner, 1 brush/comb, 2 swimming suit, 3 shorts, 6 tank top, 2 sunscreen, 2 insect repellent"
U0050,45,m,Marrakech,Morocco,2025-04-03,2025-04-13,12,25,18.5,checked,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 power adapter, 1 shampoo, 1 face wash, 4 t-shirt, 3 jeans, 1 sneakers, 4 sunscreen, 1 head covering, 6 dress shirt, 3 dress pants, 2 blazer, 5 tie, 2 dress shoes, 1 belt"
U0051,40,f,Mexico City,Mexico,2025-09-04,2025-09-08,12,23,17.5,carry_on,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 power adapter, 1 conditioner, 1 face wash, 1 brush/comb, 1 t-shirt, 2 jeans, 1 light jacket, 1 sneakers, 3 dress shirt, 2 dress pants, 2 blazer, 1 dress shoes, 1 belt, 2 dress"
U0052,33,m,Marrakech,Morocco,2025-11-02,2025-11-06,10,22,16.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 t-shirt, 3 jeans, 1 light jacket, 1 sneakers, 2 sunscreen, 1 head covering"
U0053,29,nb,Marrakech,Morocco,2026-01-05,2026-01-17,6,18,12.0,checked,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 t-shirt, 4 jeans, 1 light jacket, 4 sunscreen, 6 dress shirt, 3 dress pants, 2 blazer, 2 dress shoes, 1 belt"
U0054,64,nb,Ho Chi Minh City,Vietnam,2025-08-21,2025-08-28,24,32,28.0,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 2 swimming suit, 2 shorts, 7 tank top, 2 sunscreen"
U0055,20,nb,Warsaw,Poland,2025-03-31,2025-04-09,0,7,3.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 sweater, 2 thermal underwear, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie, 4 wool socks"
U0056,65,nb,Copenhagen,Denmark,2025-11-08,2025-11-12,3,8,5.5,carry_on,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 2 sweater, 2 thermal underwear, 1 winter coat, 1 gloves, 1 wool scarf, 1 beanie, 2 wool socks"
U0057,68,m,Rio de Janeiro,Brazil,2025-12-21,2025-12-30,23,29,26.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 2 swimming trunks, 4 shorts, 7 tank top, 2 sunscreen, 2 insect repellent"
U0058,59,f,Amsterdam,Netherlands,2025-11-30,2025-12-12,4,10,7.0,checked,business,"1 phone charger, 1 passport, 1 medications, 2 thermal underwear, 4 wool socks, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 sweater, 1 gloves, 1 wool scarf, 6 dress shirt, 2 dress pants, 1 blazer, 2 dress shoes, 4 dress"
U0059,51,f,Rio de Janeiro,Brazil,2025-12-19,2025-12-22,23,29,26.0,hand,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 deodorant, 1 wallet, 1 power adapter, 1 summer dress, 1 shorts, 1 tank top, 1 sunscreen, 1 dress shirt, 1 blazer, 1 belt, 1 dress"
U0060,49,nb,São Paulo,Brazil,2025-12-31,2026-01-09,18,27,22.5,carry_on,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 deodorant, 1 power adapter, 1 face moisturizer, 4 t-shirt, 3 jeans, 1 light jacket, 1 sneakers, 5 dress shirt, 2 dress pants, 2 dress shoes"
U0061,22,m,Kuala Lumpur,Malaysia,2025-11-27,2025-12-04,23,31,27.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 2 swimming trunks, 4 shorts, 7 tank top, 2 sunscreen, 2 insect repellent"
U0062,49,f,Lisbon,Portugal,2025-08-20,2025-09-03,18,28,23.0,carry_on,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 shampoo, 1 face moisturizer, 3 t-shirt, 4 jeans, 6 dress shirt, 2 dress pants, 2 dress shoes, 2 dress"
U0063,46,m,Shanghai,China,2025-07-23,2025-08-03,25,32,28.5,checked,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 1 swimming trunks, 4 shorts, 4 tank top, 6 dress shirt, 3 dress pants, 2 blazer, 5 tie, 1 dress shoes, 1 belt"
U0064,70,m,Cairo,Egypt,2025-03-29,2025-04-04,12,24,18.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 6 t-shirt, 4 jeans, 1 light jacket, 1 sneakers, 3 sunscreen, 1 head covering"
U0065,33,nb,Bangalore,India,2026-01-24,2026-02-02,15,27,21.0,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 deodorant, 1 wallet, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 6 t-shirt, 4 jeans, 1 light jacket, 2 sunscreen, 2 insect repellent"
U0066,36,nb,Lagos,Nigeria,2025-02-25,2025-03-05,24,33,28.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 2 swimming suit, 4 shorts, 7 tank top, 2 sunscreen, 2 insect repellent"
U0067,73,f,Istanbul,Turkey,2025-07-07,2025-07-18,20,28,24.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0068,43,nb,Guangzhou,China,2025-10-25,2025-11-02,20,28,24.0,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0069,25,f,Marrakech,Morocco,2025-11-07,2025-11-15,10,22,16.0,carry_on,business,"1 phone charger, 1 passport, 1 medications, 1 wallet, 3 t-shirt, 1 jeans, 3 sunscreen, 1 head covering, 6 dress shirt, 2 dress pants, 1 blazer, 1 dress shoes, 3 dress"
U0070,28,nb,Guangzhou,China,2025-09-07,2025-09-10,24,31,27.5,carry_on,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 swimming suit, 2 shorts, 3 tank top"
U0071,75,nb,Copenhagen,Denmark,2025-05-11,2025-05-17,9,17,13.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 6 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0072,60,m,Las Vegas,USA,2025-10-11,2025-10-15,15,28,21.5,checked,business,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 2 t-shirt, 3 jeans, 1 light jacket, 1 sneakers, 2 sunscreen, 1 head covering, 3 dress shirt, 2 dress pants, 2 blazer, 3 tie, 2 dress shoes, 1 belt"
